c_id,y_id,i_id,measure
0,55,3,5.77611
0,56,3,5.57218
0,57,3,5.50825
0,2,0,24450604877.608116
0,3,0,18272123664.47152
0,4,0,25605249381.75971
0,5,0,28344705966.63891
0,6,0,28630474727.90226
0,7,0,24256667553.25692
0,8,0,26436857247.498184
0,9,0,31256284543.61548
0,10,0,31584210365.54465
0,11,0,33293199095.488117
0,12,0,34733000536.28621
0,13,0,52544000116.90373
0,14,0,72436777342.45541
0,15,0,52438647921.9226
0,16,0,51169499890.77222
0,17,0,56781000100.944824
0,18,0,58082870156.26343
0,19,0,69252328953.37886
0,20,0,76961923741.94785
0,21,0,78676842366.42133
0,22,0,84307486836.72403
0,23,0,103979106777.91103
0,24,0,79092001998.03204
0,25,0,88416668900.25958
0,26,0,110934442762.69356
0,27,0,111106191358.19745
0,28,0,126206817196.09116
0,29,0,76636898036.47119
0,30,0,141352368714.6913
0,31,0,189719984268.48453
0,32,0,228788617201.69592
0,33,0,236741715015.015
0,34,0,257440000000.0
0,35,0,258031750000.0
0,36,0,272149750000.0
0,37,0,292859000000.0
0,38,0,298948250000.0
0,39,0,283523000000.0
0,40,0,284203750000.0
0,41,0,268696750000.0
0,42,0,97724004251.8602
0,43,0,127586973492.17664
0,44,0,164657930452.78662
0,45,0,198737095012.28165
0,46,0,232557260817.3077
0,47,0,287530508430.568
0,48,0,361558037110.41925
0,49,0,332976484577.6189
0,50,0,423627422092.4896
0,51,0,530163281574.65753
0,52,0,545982375701.128
0,53,0,552025140252.2463
0,54,0,526319673731.6383
0,55,0,594749285413.2124
0,56,0,557531376217.9669
0,57,0,642695864756.3501
0,58,0,519871519807.795
0,40,1,8.46696453
0,41,1,8.62096807
0,42,1,7.67272924
0,43,1,7.13188245
0,44,1,6.99268547
0,45,1,7.62903684
0,46,1,7.56810123
0,47,1,7.61793101
0,48,1,7.66306468
0,49,1,9.0087642
0,50,1,8.61198493
0,51,1,8.39473866
0,52,1,8.40588238
0,53,1,8.37804641
0,54,1,8.23722377
0,55,1,8.74331517
0,56,1,7.54838404
1,0,2,2.3695451396906
1,1,2,2.41513985411521
1,2,2,2.3636953699697103
1,3,2,2.44663463919568
1,4,2,2.64824279705097
1,5,2,2.952292961532
1,6,2,3.45138290370603
1,7,2,3.7937639672235797
1,8,2,3.83727358459887
1,9,2,3.3859198800219197
1,10,2,2.96603557682305
1,11,2,2.76315170889944
1,12,2,2.68562060485785
1,13,2,2.37934679594664
1,14,2,2.26280269948392
1,15,2,2.26731559253735
1,16,2,2.2166121067524798
1,17,2,2.24720220833707
1,18,2,2.2156885699105797
1,19,2,2.19272937103289
1,20,2,2.24895690403517
1,21,2,2.2966019447106403
1,22,2,2.3932652161369203
1,23,2,2.51981181916526
1,24,2,2.50523365070013
1,25,2,2.52326837870517
1,26,2,2.54042975157867
1,27,2,2.37298883241393
1,28,2,2.16181488266294
1,29,2,2.0518275094775
1,30,2,2.07590585971773
1,31,2,2.16804285831077
1,32,2,2.16874608012627
1,33,2,2.17802988646311
1,34,2,2.11659858893427
1,35,2,2.02131256804327
1,36,2,1.93044006740518
1,37,2,1.86733439499343
1,38,2,1.8711218131061198
1,39,2,1.88923574072912
1,40,2,1.82984191251005
1,41,2,1.8700938789187198
1,42,2,1.87396462061393
1,43,2,1.84628968871455
1,44,2,1.82741076940486
1,45,2,1.80185377485481
1,46,2,1.82184284558172
1,47,2,1.8145996686913302
1,48,2,1.79723901240042
1,49,2,1.92917969094082
1,50,2,1.86239977396025
1,51,2,1.76938986414435
1,52,2,1.6799173576200401
1,53,2,1.64953307597667
1,54,2,1.78129495506829
1,55,2,1.95845125365234
1,56,2,2.09284952414869
1,57,2,2.00796639339341
1,58,2,1.8915597671394497
1,18,3,6.01040983200073
1,19,3,5.89838981628418
1,20,3,5.65545988082886
1,22,3,5.48108005523682
1,23,3,5.37336015701294
1,25,3,5.4067702293396
1,26,3,5.28190994262695
1,27,3,5.07158994674683
1,28,3,4.91880989074707
1,29,3,4.74832010269165
1,30,3,4.67555999755859
1,31,3,4.79384994506836
1,32,3,4.6917200088501
1,33,3,5.51654005050659
1,34,3,5.25500011444092
1,35,3,5.14390993118286
1,36,3,5.24097013473511
1,40,3,4.89369
1,45,3,4.91573
1,46,3,4.75359
1,47,3,4.66711
1,48,3,4.64397
1,49,3,5.09327
1,50,3,5.55917
1,51,3,5.08313
1,52,3,4.87765
1,53,3,5.23801
1,54,3,5.17368
1,55,3,5.32175
1,56,3,5.28031
1,0,0,18577668271.922947
